統編,年份,Tot數值,Tot變化,是推估值
14057995,2019,303828.88,89.94,T
14057995,2020,299549.6,88.67,T
14057995,2021,295270.32,87.4,T
14057995,2022,290991.04,86.13,T
14057995,2023,286711.76,84.87,T
14057995,2024,282432.48,83.6,T
14057995,2025,278153.2,82.33,T
14057995,2026,273873.92,81.07,T
14057995,2027,269594.64,79.8,T
14057995,2028,265315.36,78.53,T
14057995,2029,261036.08,77.27,T
14057995,2030,256756.8,76,
68387705,2019,773366.57,118.05,T
68387705,2020,753752.2,115.06,T
68387705,2021,734137.83,112.06,T
68387705,2022,714523.46,109.07,T
68387705,2023,694909.09,106.07,T
68387705,2024,675294.72,103.08,T
68387705,2025,655680.35,100.09,
68387705,2026,645592.96,98.55,T
68387705,2027,635505.57,97.01,T
68387705,2028,625418.18,95.47,T
68387705,2029,615330.79,93.93,T
68387705,2030,605243.4,92.39,
11384806,2019,4277481.36,99.18,T
11384806,2020,4233962.71,98.17,T
11384806,2021,4190444.07,97.16,T
11384806,2022,4146925.43,96.15,T
11384806,2023,4103406.79,95.14,T
11384806,2024,4059888.14,94.13,T
11384806,2025,4016369.5,93.12,
11384806,2026,3904455.6,90.53,T
11384806,2027,3792541.7,87.93,T
11384806,2028,3680627.8,85.34,T
11384806,2029,3568713.9,82.74,T
11384806,2030,3456800,80.15,
11384806,2031,3283960,76.14,T
11384806,2032,3111120,72.13,T
11384806,2033,2938280,68.13,T
11384806,2034,2765440,64.12,T
11384806,2035,2592600,60.11,T
11384806,2036,2419760,56.1,T
11384806,2037,2246920,52.1,T
11384806,2038,2074080,48.09,T
11384806,2039,1901240,44.08,T
11384806,2040,1728400,40.07,T
11384806,2041,1555560,36.07,T
11384806,2042,1382720,32.06,T
11384806,2043,1209880,28.05,T
11384806,2044,1037040,24.04,T
11384806,2045,864200,20.04,T
11384806,2046,691360,16.03,T
11384806,2047,518520,12.02,T
11384806,2048,345680,8.01,T
11384806,2049,172840,4.01,T
11384806,2050,0,0,
11384708,2019,2914349.71,85.72,T
11384708,2020,2884699.43,84.84,T
11384708,2021,2855049.14,83.97,T
11384708,2022,2825398.86,83.1,T
11384708,2023,2795748.57,82.23,T
11384708,2024,2766098.29,81.36,T
11384708,2025,2736448,80.48,
11384708,2026,2660198.4,78.24,T
11384708,2027,2583948.8,76,T
11384708,2028,2507699.2,73.76,T
11384708,2029,2431449.6,71.51,T
11384708,2030,2355200,69.27,
11384708,2031,2237440,65.81,T
11384708,2032,2119680,62.34,T
11384708,2033,2001920,58.88,T
11384708,2034,1884160,55.42,T
11384708,2035,1766400,51.95,T
11384708,2036,1648640,48.49,T
11384708,2037,1530880,45.03,T
11384708,2038,1413120,41.56,T
11384708,2039,1295360,38.1,T
11384708,2040,1177600,34.64,T
11384708,2041,1059840,31.17,T
11384708,2042,942080,27.71,T
11384708,2043,824320,24.24,T
11384708,2044,706560,20.78,T
11384708,2045,588800,17.32,T
11384708,2046,471040,13.85,T
11384708,2047,353280,10.39,T
11384708,2048,235520,6.93,T
11384708,2049,117760,3.46,T
11384708,2050,0,0,
12233428,2019,2526297.71,98.18,T
12233428,2020,2500595.43,97.19,T
12233428,2021,2474893.14,96.19,T
12233428,2022,2449190.86,95.19,T
12233428,2023,2423488.57,94.19,T
12233428,2024,2397786.29,93.19,T
12233428,2025,2372084,92.19,
12233428,2026,2305987.2,89.62,T
12233428,2027,2239890.4,87.05,T
12233428,2028,2173793.6,84.48,T
12233428,2029,2107696.8,81.92,T
12233428,2030,2041600,79.35,
12233428,2031,1939520,75.38,T
12233428,2032,1837440,71.41,T
12233428,2033,1735360,67.45,T
12233428,2034,1633280,63.48,T
12233428,2035,1531200,59.51,T
12233428,2036,1429120,55.54,T
12233428,2037,1327040,51.58,T
12233428,2038,1224960,47.61,T
12233428,2039,1122880,43.64,T
12233428,2040,1020800,39.67,T
12233428,2041,918720,35.71,T
12233428,2042,816640,31.74,T
12233428,2043,714560,27.77,T
12233428,2044,612480,23.8,T
12233428,2045,510400,19.84,T
12233428,2046,408320,15.87,T
12233428,2047,306240,11.9,T
12233428,2048,204160,7.93,T
12233428,2049,102080,3.97,T
12233428,2050,0,0,
