統編,年份,Tot數值,Tot變化,是承諾值
14057995,2014,313780.24,96.04,
14057995,2015,320946.03,98.23,
14057995,2016,340429.01,104.2,
14057995,2017,342939.56,104.97,
14057995,2018,347361.57,106.32,
14057995,2019,326715.16,100,
14057995,2020,332807,101.86,
14057995,2021,295270.32,90.38,T
14057995,2022,290991.04,89.07,T
14057995,2023,286711.76,87.76,T
14057995,2024,282432.48,86.45,T
14057995,2025,278153.2,85.14,T
14057995,2026,273873.92,83.83,T
14057995,2027,269594.64,82.52,T
14057995,2028,265315.36,81.21,T
14057995,2029,261036.08,79.9,T
14057995,2030,256756.8,78.59,T
68387705,2014,686396.64,106.53,
68387705,2015,625430.47,97.07,
68387705,2016,669116.53,103.85,
68387705,2017,743659.61,115.42,
68387705,2018,694820.69,107.84,
68387705,2019,644292.75,100,
68387705,2020,613903.25,95.28,
68387705,2021,734137.83,113.94,T
68387705,2022,714523.46,110.9,T
68387705,2023,694909.09,107.86,T
68387705,2024,675294.72,104.81,T
68387705,2025,655680.35,101.77,T
68387705,2026,645592.96,100.2,T
68387705,2027,635505.57,98.64,T
68387705,2028,625418.18,97.07,T
68387705,2029,615330.79,95.5,T
68387705,2030,605243.4,93.94,T
11384806,2013,1257320.41,37.77,
11384806,2014,2737040.99,82.23,
11384806,2015,2824541.48,84.86,
11384806,2016,2898874.46,87.09,
11384806,2017,2995422.79,89.99,
11384806,2018,3125992.83,93.91,
11384806,2019,3328594.96,100,
11384806,2020,3470702.6,104.27,
11384806,2021,4190444.07,125.89,T
11384806,2022,4146925.43,124.58,T
11384806,2023,4103406.79,123.28,T
11384806,2024,4059888.14,121.97,T
11384806,2025,4016369.5,120.66,T
11384806,2026,3904455.6,117.3,T
11384806,2027,3792541.7,113.94,T
11384806,2028,3680627.8,110.58,T
11384806,2029,3568713.9,107.21,T
11384806,2030,3456800,103.85,T
11384806,2031,3283960,98.66,T
11384806,2032,3111120,93.47,T
11384806,2033,2938280,88.27,T
11384806,2034,2765440,83.08,T
11384806,2035,2592600,77.89,T
11384806,2036,2419760,72.7,T
11384806,2037,2246920,67.5,T
11384806,2038,2074080,62.31,T
11384806,2039,1901240,57.12,T
11384806,2040,1728400,51.93,T
11384806,2041,1555560,46.73,T
11384806,2042,1382720,41.54,T
11384806,2043,1209880,36.35,T
11384806,2044,1037040,31.16,T
11384806,2045,864200,25.96,T
11384806,2046,691360,20.77,T
11384806,2047,518520,15.58,T
11384806,2048,345680,10.39,T
11384806,2049,172840,5.19,T
11384806,2050,0,0,T
11384708,2014,1016357.74,67.77,
11384708,2015,1386333.58,92.43,
11384708,2016,1314299.76,87.63,
11384708,2017,1375369.66,91.7,
11384708,2018,1372092.47,91.48,
11384708,2019,1499807.13,100,
11384708,2020,1413654.22,94.26,
11384708,2021,2855049.14,190.36,T
11384708,2022,2825398.86,188.38,T
11384708,2023,2795748.57,186.41,T
11384708,2024,2766098.29,184.43,T
11384708,2025,2736448,182.45,T
11384708,2026,2660198.4,177.37,T
11384708,2027,2583948.8,172.29,T
11384708,2028,2507699.2,167.2,T
11384708,2029,2431449.6,162.12,T
11384708,2030,2355200,157.03,T
11384708,2031,2237440,149.18,T
11384708,2032,2119680,141.33,T
11384708,2033,2001920,133.48,T
11384708,2034,1884160,125.63,T
11384708,2035,1766400,117.78,T
11384708,2036,1648640,109.92,T
11384708,2037,1530880,102.07,T
11384708,2038,1413120,94.22,T
11384708,2039,1295360,86.37,T
11384708,2040,1177600,78.52,T
11384708,2041,1059840,70.67,T
11384708,2042,942080,62.81,T
11384708,2043,824320,54.96,T
11384708,2044,706560,47.11,T
11384708,2045,588800,39.26,T
11384708,2046,471040,31.41,T
11384708,2047,353280,23.56,T
11384708,2048,235520,15.7,T
11384708,2049,117760,7.85,T
11384708,2050,0,0,T
12233428,2014,961716.58,113.16,
12233428,2015,1550314.25,182.41,
12233428,2016,1559312.96,183.47,
12233428,2017,1756016.33,206.61,
12233428,2018,1669938.23,196.48,
12233428,2019,849910.62,100,
12233428,2020,823829.07,96.93,
12233428,2021,2474893.14,291.19,T
12233428,2022,2449190.86,288.17,T
12233428,2023,2423488.57,285.15,T
12233428,2024,2397786.29,282.12,T
12233428,2025,2372084,279.1,T
12233428,2026,2305987.2,271.32,T
12233428,2027,2239890.4,263.54,T
12233428,2028,2173793.6,255.77,T
12233428,2029,2107696.8,247.99,T
12233428,2030,2041600,240.21,T
12233428,2031,1939520,228.2,T
12233428,2032,1837440,216.19,T
12233428,2033,1735360,204.18,T
12233428,2034,1633280,192.17,T
12233428,2035,1531200,180.16,T
12233428,2036,1429120,168.15,T
12233428,2037,1327040,156.14,T
12233428,2038,1224960,144.13,T
12233428,2039,1122880,132.12,T
12233428,2040,1020800,120.11,T
12233428,2041,918720,108.1,T
12233428,2042,816640,96.09,T
12233428,2043,714560,84.07,T
12233428,2044,612480,72.06,T
12233428,2045,510400,60.05,T
12233428,2046,408320,48.04,T
12233428,2047,306240,36.03,T
12233428,2048,204160,24.02,T
12233428,2049,102080,12.01,T
12233428,2050,0,0,T
