統編,年份,Tot數值,Tot變化,是承諾值
40601248,2020,672647.69,104.36,
40601248,2019,644566.46,100,
40601248,2018,594532.56,92.24,
40601248,2017,650425.93,100.91,
40601248,2016,694174.19,107.7,
40601248,2015,715575.85,111.02,
40601248,2014,724204.91,112.36,
40601248,2013,759359.28,117.81,
40601248,2014,752999.275,1.1682259654031644,T
40601248,2015,746671.5499999999,1.1584089404838098,T
40601248,2016,740343.825,1.1485919155644555,T
40601248,2017,734016.1,1.1387748906451012,T
40601248,2018,727688.375,1.1289578657257469,T
40601248,2019,721360.65,1.1191408408063928,T
40601248,2020,715032.925,1.1093238158870384,T
40601248,2021,708705.2,1.099506790967684,T
40601248,2022,702377.475,1.0896897660483296,T
40601248,2023,696049.75,1.0798727411289752,T
40601248,2024,689722.025,1.0700557162096211,T
40601248,2025,683394.3,1.0602386912902668,T
40601248,2026,683394.3,1.0602386912902668,T
40601248,2027,683394.3,1.0602386912902668,T
40601248,2028,683394.3,1.0602386912902668,T
40601248,2029,683394.3,1.0602386912902668,T
40601248,2030,683394.3,1.0602386912902668,T
