統編,年份,Tot數值,Tot變化,是承諾值
33085508,2014,1464287.42,109.54,
33085508,2015,1402619.52,104.93,
33085508,2016,1467978.98,109.81,
33085508,2017,1332729.82,99.7,
33085508,2018,1356815.8,101.5,
33085508,2019,1336776.92,100,
33085508,2020,1336282.05,99.96,
33085508,2021,1331008.2,99.57,T
33085508,2022,1295035,96.88,T
33085508,2023,1259061.81,94.19,T
33085508,2024,1223088.61,91.5,T
33085508,2025,1187115.42,88.8,T
33085508,2026,1151142.22,86.11,T
33085508,2027,1115169.03,83.42,T
33085508,2028,1079195.84,80.73,T
33085508,2029,1043222.64,78.04,T
33085508,2030,1007249.45,75.35,T
33085508,2031,956886.97,71.58,T
33085508,2032,906524.5,67.81,T
33085508,2033,856162.03,64.05,T
33085508,2034,805799.56,60.28,T
33085508,2035,755437.08,56.51,T
33085508,2036,705074.61,52.74,T
33085508,2037,654712.14,48.98,T
33085508,2038,604349.67,45.21,T
33085508,2039,553987.2,41.44,T
33085508,2040,503624.72,37.67,T
33085508,2041,453262.25,33.91,T
33085508,2042,402899.78,30.14,T
33085508,2043,352537.31,26.37,T
33085508,2044,302174.83,22.6,T
33085508,2045,251812.36,18.84,T
33085508,2046,201449.89,15.07,T
33085508,2047,151087.42,11.3,T
33085508,2048,100724.94,7.53,T
33085508,2049,50362.47,3.77,T
33085508,2050,0,0,T
94025264,2014,216066.44,118.97,
94025264,2015,207112.09,114.04,
94025264,2016,209950.06,115.6,
94025264,2017,222095.07,122.29,
94025264,2018,215890.57,118.87,
94025264,2019,181617.36,100,
94025264,2020,170938.32,94.12,
94025264,2021,999100,550.11,T
94025264,2022,988800,544.44,T
94025264,2023,978500,538.77,T
94025264,2024,968200,533.1,T
94025264,2025,957900,527.43,T
