統編,分類,子分類,項目,來自公司報告,單位,年份,數值
73251209,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2008,98.12
73251209,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2008,26.58
73251209,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2008,124.7
20927014,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2009,4850.739999999991
20927014,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2009,119401.6
20927014,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2009,124252.34
20927014,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2010,5983.720000000001
20927014,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2010,127745
20927014,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2010,133728.72
20927014,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,6963.309999999998
20927014,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,119409.67
20927014,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,126372.98
16635562,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,45847.409999999996
16635562,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,10619.65
16635562,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,56467.06
56121907,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,200005.71999999997
56121907,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,51109.64
56121907,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,251115.36
73251209,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,18002.32
73251209,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,28383.72
73251209,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,46386.04
12529007,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,30308.409999999996
12529007,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,5013.68
12529007,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,35322.09
16635562,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,41862.25
16635562,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,9961.31
16635562,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,51823.56
56121907,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,197888.52
56121907,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,52513.28
56121907,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,250401.8
89397503,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,25649.45
89397503,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,1921.18
89397503,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,27570.63
12529007,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,30107.6
12529007,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,5064.75
12529007,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,35172.35
16635562,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,46381.21000000001
16635562,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,10746.7
16635562,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,57127.91
56121907,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,177155.62
56121907,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,46979.53
56121907,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,224135.15
89397503,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,22396.63
89397503,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,1460.34
89397503,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,23856.97
89397503,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,865.8935788340892
12529007,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,26418.27
12529007,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,5167.82
12529007,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,31586.09
16635562,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,42420.67
16635562,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,10951.92
16635562,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,53372.59
56121907,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,134705.12
56121907,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,37122.86
56121907,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,171827.97999999998
89397503,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,24221.79
89397503,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,1078.57
89397503,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,25300.36
89397503,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,917.6522220106453
12529007,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,27880.29
12529007,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,4782.01
12529007,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,32662.300000000003
16635562,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,37158.990000000005
16635562,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,9211.09
16635562,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,46370.08
56121907,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,131741.05
56121907,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,40931.17
56121907,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,172672.21999999997
89397503,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,21797.550000000003
89397503,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,1499.44
89397503,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,23296.99
89397503,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,776.1880710133928
12529007,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,26743.71
12529007,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,4687.56
12529007,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,31431.27
16635562,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,35563.26
16635562,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,9515.86
16635562,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,45079.12
56121907,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,139478.44
56121907,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,39421.37
56121907,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,178899.81
89397503,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,23112.63
89397503,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,860.85
89397503,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,23973.48
89397503,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,824.7903489110184
12529007,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,28162
12529007,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,4623.28
12529007,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,32785.28
