分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,33771.11
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,13133.68
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,46904.79
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,34024.350000000006
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,22698.12
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,56722.47
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,2699.9257457553704
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,39966.33
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,18246.1
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,58212.43
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,2771.259039778118
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,46732.72
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,18726.21
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,65458.93
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,45958.49
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,18720.61
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,64679.1
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,3402.077147433284
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,44750.67
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,18629.42
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,63380.09
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,3629.3119491690904
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,能源使用狀況,總用電量,true,NA,2018,NA
E,能源使用狀況,再生能源設置量,true,NA,2018,NA
E,能源使用狀況,再生能源發電量,true,NA,2018,NA
E,能源使用狀況,總用電量,true,NA,2019,NA
E,能源使用狀況,再生能源設置量,true,NA,2019,NA
E,能源使用狀況,再生能源發電量,true,NA,2019,NA
E,能源使用狀況,總用電量,true,NA,2020,NA
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,水資源,總取水量,true,,2018,無揭露
E,水資源,回收水量,true,,2018,無揭露
E,水資源,耗用水量,true,,2018,無揭露
E,水資源,排放水量,true,,2018,無揭露
E,水資源,總取水量,true,,2019,無揭露
E,水資源,回收水量,true,,2019,無揭露
E,水資源,耗用水量,true,,2019,無揭露
E,水資源,排放水量,true,,2019,無揭露
E,水資源,總取水量,true,,2020,無揭露
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,無揭露,2018,無揭露
E,廢棄物管理,有害事業廢棄物,true,無揭露,2018,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2018,無揭露
E,廢棄物管理,一般事業廢棄物,true,無揭露,2019,無揭露
E,廢棄物管理,有害事業廢棄物,true,無揭露,2019,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2019,無揭露
E,廢棄物管理,一般事業廢棄物,true,無揭露,2020,無揭露
E,廢棄物管理,有害事業廢棄物,true,無揭露,2020,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2020,無揭露
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,23.165
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,27.543
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,3.2
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.4360000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,17.483
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,26.961
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,3.056
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.63
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,16.613999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,25.378
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,3.196
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,3.0460000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,37.41
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,57.754999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,8.999
