分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,預計範疇二年減2%
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.958
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.863
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1.061
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,1.208
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.944
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,1.1769999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.579
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,1.2439999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.846
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,0.46799999999999997
E,環境違規,違反環境法規金額-misc,,元,2016,10000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2021,60000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,564
S,員工薪資,薪資中位數,,仟元,2020,469
S,員工薪資,平均薪資,,仟元,2019,569
S,員工薪資,薪資中位數,,仟元,2019,422
S,員工薪資,平均薪資,,仟元,2018,515
G,資本額,資本額,,元,2020,684669760
G,資本額,資本額,,元,2019,684669760
