年份,Tot數值,Tot變化,是推估值
2019,1419675.86,100,
2020,1382182.55,97.36,T
2021,1344689.24,94.72,T
2022,1307195.93,92.08,T
2023,1269702.62,89.44,T
2024,1232209.31,86.8,T
2025,1194716,84.15,T
2026,1157222.69,81.51,T
2027,1119729.38,78.87,T
2028,1082236.07,76.23,T
2029,1044742.76,73.59,T
2030,1007249.45,70.95,
2031,956886.97,67.4,T
2032,906524.5,63.85,T
2033,856162.03,60.31,T
2034,805799.56,56.76,T
2035,755437.08,53.21,T
2036,705074.61,49.66,T
2037,654712.14,46.12,T
2038,604349.67,42.57,T
2039,553987.2,39.02,T
2040,503624.72,35.47,T
2041,453262.25,31.93,T
2042,402899.78,28.38,T
2043,352537.31,24.83,T
2044,302174.83,21.28,T
2045,251812.36,17.74,T
2046,201449.89,14.19,T
2047,151087.42,10.64,T
2048,100724.94,7.09,T
2049,50362.47,3.55,T
2050,0,0,
