分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.132
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.19
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,1.089
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1.2349999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.4989999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.045
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.334
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.855
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,2.6069999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.7099999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,1.634
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.14
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.278
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,1.1460000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.57
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.7
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.488
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.014
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.428
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.009000000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.41100000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.009000000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.535
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.011
E,環境違規,違反環境法規金額-misc,,元,2014,100000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2016,0
E,環境違規,違反環境法規次數-misc,,次,2016,0
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,31500
E,環境違規,違反環境法規次數-水,,次,2016,1
S,員工薪資,平均薪資,,仟元,2020,483
S,員工薪資,薪資中位數,,仟元,2020,463
S,員工薪資,平均薪資,,仟元,2019,488
S,員工薪資,薪資中位數,,仟元,2019,470
S,員工薪資,平均薪資,,仟元,2018,479
G,資本額,資本額,,元,2020,806945000
G,資本額,資本額,,元,2019,806945000
G,營運狀況,營業收入,,仟元,2020,757773
G,營運狀況,營業成本,,仟元,2020,656220
G,營運狀況,營業費用,,仟元,2020,80337
G,營運狀況,淨利,,仟元,2020,19810
G,營運狀況,營業收入,,仟元,2019,832001
G,營運狀況,營業成本,,仟元,2019,755212
G,營運狀況,營業費用,,仟元,2019,83610
G,營運狀況,淨利,,仟元,2019,36444
G,營運狀況,營業收入,,仟元,2018,816819
G,營運狀況,營業成本,,仟元,2018,722393
G,營運狀況,營業費用,,仟元,2018,83039
G,營運狀況,淨利,,仟元,2018,11933
G,營運狀況,營業收入,,仟元,2017,773554
G,營運狀況,營業成本,,仟元,2017,660944
G,營運狀況,營業費用,,仟元,2017,78024
G,營運狀況,淨利,,仟元,2017,23786
G,營運狀況,營業收入,,仟元,2016,802197
G,營運狀況,營業成本,,仟元,2016,679153
G,營運狀況,營業費用,,仟元,2016,84863
G,營運狀況,淨利,,仟元,2016,45431
