分類,子分類,項目,單位,年份,數值
G,營運狀況,營業收入,仟元,2020,656406
G,營運狀況,營業成本,仟元,2020,916105
G,營運狀況,營業費用,仟元,2020,141212
G,營運狀況,淨利,仟元,2020,-389742
G,營運狀況,營業收入,仟元,2019,1157023
G,營運狀況,營業成本,仟元,2019,1370878
G,營運狀況,營業費用,仟元,2019,156140
G,營運狀況,淨利,仟元,2019,-438324
G,營運狀況,營業收入,仟元,2018,2071989
G,營運狀況,營業成本,仟元,2018,1722629
G,營運狀況,營業費用,仟元,2018,222202
G,營運狀況,淨利,仟元,2018,134699
G,營運狀況,營業收入,仟元,2017,3406504
G,營運狀況,營業成本,仟元,2017,2235052
G,營運狀況,營業費用,仟元,2017,195516
G,營運狀況,淨利,仟元,2017,835167
G,營運狀況,營業收入,仟元,2016,3302412
G,營運狀況,營業成本,仟元,2016,2174718
G,營運狀況,營業費用,仟元,2016,125824
G,營運狀況,淨利,仟元,2016,882091
