分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司為持續推動國際減量趨勢，透過每年環境考量面鑑別評估持續進行各種節電節能措施，監控溫室氣體排放量，同時致力於減少溫室氣體的產生，設定自111年至115年達成溫室氣體排放降低5%為目標，並於5年期滿後重新檢討，為下一階段減量目標預作準備。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.007
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,4.421
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.052
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,10.538
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.434
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.035
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,11.253
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.117
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,0.032
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,6.371
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2023,0.034
E,環境違規,違反環境法規金額-misc,,元,2012,6000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2015,200000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2017,60000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2022,60000
E,環境違規,違反環境法規次數-misc,,次,2022,1
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,0
E,環境違規,違反環境法規次數-水,,次,2022,0
S,員工薪資,平均薪資,,仟元,2020,503
S,員工薪資,薪資中位數,,仟元,2020,432
S,員工薪資,平均薪資,,仟元,2019,500
S,員工薪資,薪資中位數,,仟元,2019,421
S,員工薪資,平均薪資,,仟元,2018,472
G,資本額,資本額,,元,2020,726000000
G,資本額,資本額,,元,2019,726000000
