分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.302
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.536
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,1.543
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,5.59
S,員工薪資,平均薪資,,仟元,2020,731
S,員工薪資,薪資中位數,,仟元,2020,581
S,員工薪資,平均薪資,,仟元,2019,748
S,員工薪資,薪資中位數,,仟元,2019,596
S,員工薪資,平均薪資,,仟元,2018,792
G,資本額,資本額,,元,2020,1140597000
G,資本額,資本額,,元,2019,1140597000
G,營運狀況,營業收入,,仟元,2020,3905582
G,營運狀況,營業成本,,仟元,2020,3194202
G,營運狀況,營業費用,,仟元,2020,946949
G,營運狀況,淨利,,仟元,2020,-236216
G,營運狀況,營業收入,,仟元,2019,4819901
G,營運狀況,營業成本,,仟元,2019,3790730
G,營運狀況,營業費用,,仟元,2019,1037523
G,營運狀況,淨利,,仟元,2019,5360
G,營運狀況,營業收入,,仟元,2018,6262245
G,營運狀況,營業成本,,仟元,2018,5007427
G,營運狀況,營業費用,,仟元,2018,1088188
G,營運狀況,淨利,,仟元,2018,180159
G,營運狀況,營業收入,,仟元,2017,4455012
G,營運狀況,營業成本,,仟元,2017,3642246
G,營運狀況,營業費用,,仟元,2017,948535
G,營運狀況,淨利,,仟元,2017,-148191
G,營運狀況,營業收入,,仟元,2016,4115786
G,營運狀況,營業成本,,仟元,2016,3245154
G,營運狀況,營業費用,,仟元,2016,1056277
G,營運狀況,淨利,,仟元,2016,-202293
