分類,子分類,項目,來自公司報告,單位,年份,數值
G,營運狀況,營業收入,,仟元,2020,1008157
G,營運狀況,營業成本,,仟元,2020,1486319
G,營運狀況,營業費用,,仟元,2020,871088
G,營運狀況,淨利,,仟元,2020,-1312802
G,營運狀況,營業收入,,仟元,2019,1258400
G,營運狀況,營業成本,,仟元,2019,1527022
G,營運狀況,營業費用,,仟元,2019,394339
G,營運狀況,淨利,,仟元,2019,-642026
G,營運狀況,營業收入,,仟元,2018,1464797
G,營運狀況,營業成本,,仟元,2018,2241085
G,營運狀況,營業費用,,仟元,2018,1044074
G,營運狀況,淨利,,仟元,2018,-1888426
G,營運狀況,營業收入,,仟元,2017,4588271
G,營運狀況,營業成本,,仟元,2017,3896906
G,營運狀況,營業費用,,仟元,2017,476404
G,營運狀況,淨利,,仟元,2017,182353
G,營運狀況,營業收入,,仟元,2016,5779198
G,營運狀況,營業成本,,仟元,2016,4550827
G,營運狀況,營業費用,,仟元,2016,525337
G,營運狀況,淨利,,仟元,2016,406407
