分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,節能減排目標： 宣示「十年減排 20%」 2025 較 2015 年累積降低 20%，每年降低 2% 由於全球暖化，溫室效應已對全人類產生衝擊，東元以「節能、減排、智能、自動」的願景領 先「國家 溫室氣體減量目標」，從原料供應鏈、高效率產品設計及生產製程進一步檢視、監控， 期能由內而外， 由上而下，達到整體產品生命週期及供應鏈綠化之目標。針對管理方式及目標， 東元宣示「十年減排 50%」， 基準年設定為 2020，目標在 2030 年時降低 50%的碳排放，追循各國宣示淨零排放同時；遵照政府宣布 之淨零排放路徑及策略來維持國際級競爭力。「十年減排 50%」的使命下，將計劃成果擴大實施至海外 廠區，使全集團同步未減碳排放而努力，並全面實施「永續KPI」，將永續管理深植於東元企業文化。 參考網址: https://www.teco.com.tw/csr/default.aspx?gid=4
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,2.2630000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1.7970000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,20.976
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,70.828
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,1.276
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1.569
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,19.1
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,102.729
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.867
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,2.64
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,28.302
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,165.51700000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.8499999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,1.5710000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,12.036999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,91.78699999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1.0670000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.877
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,22.935000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,125.359
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.769
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.182
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,10.933
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,103.143
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.714
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.86
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,7.194
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,105.476
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,2.494
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,2.137
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,18.771000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,320.377
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.808
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.569
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,14.045000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,206.421
E,空氣污染物申報-有害空氣污染物,苯,,,2017,1.572
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2017,18.714
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.46799999999999997
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,43.278999999999996
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,52.202
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,2.5980000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,1.814
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,14.972999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,187.75099999999998
E,空氣污染物申報-有害空氣污染物,苯,,,2019,1.7610000000000001
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2019,56.063
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.786
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,23.701
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,25.945
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.3780000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,1.064
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,8.175
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,78.312
E,空氣污染物申報-有害空氣污染物,苯,,,2020,0.869
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2020,26.141000000000002
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.477
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,6.2090000000000005
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,9.743
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.48
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.412
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,3.057
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,30.296
E,空氣污染物申報-有害空氣污染物,苯,,,2021,0.338
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2021,10.242
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.107
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,2.552
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,4.286
E,環境違規,違反環境法規金額-misc,,元,2014,300000
E,環境違規,違反環境法規次數-misc,,次,2014,2
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,372000
E,環境違規,違反環境法規次數-misc,,次,2015,3
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
S,員工薪資,平均薪資,,仟元,2020,815
S,員工薪資,薪資中位數,,仟元,2020,670
S,員工薪資,平均薪資,,仟元,2019,834
S,員工薪資,薪資中位數,,仟元,2019,681
S,員工薪資,平均薪資,,仟元,2018,828
G,資本額,資本額,,元,2020,21387966160
G,資本額,資本額,,元,2019,21387966160
G,營運狀況,營業收入,,仟元,2020,45823430
G,營運狀況,營業成本,,仟元,2020,35066082
G,營運狀況,營業費用,,仟元,2020,7222036
G,營運狀況,淨利,,仟元,2020,3811648
G,營運狀況,營業收入,,仟元,2019,47909358
G,營運狀況,營業成本,,仟元,2019,36428606
G,營運狀況,營業費用,,仟元,2019,7945204
G,營運狀況,淨利,,仟元,2019,3518780
G,營運狀況,營業收入,,仟元,2018,50104927
G,營運狀況,營業成本,,仟元,2018,38052253
G,營運狀況,營業費用,,仟元,2018,8532173
G,營運狀況,淨利,,仟元,2018,3475969
G,營運狀況,營業收入,,仟元,2017,50942521
G,營運狀況,營業成本,,仟元,2017,38743733
G,營運狀況,營業費用,,仟元,2017,8700068
G,營運狀況,淨利,,仟元,2017,3544248
G,營運狀況,營業收入,,仟元,2016,49923836
G,營運狀況,營業成本,,仟元,2016,36788304
G,營運狀況,營業費用,,仟元,2016,8944914
G,營運狀況,淨利,,仟元,2016,4036998
