分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,尚未制定。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.163
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.482
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.11699999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.012
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,1.494
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.128
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.010000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.798
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.017
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.157
E,環境違規,違反環境法規金額-misc,,元,2018,200000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2023,6000
E,環境違規,違反環境法規次數-misc,,次,2023,1
E,環境違規,違反環境法規金額-空氣,,元,2023,0
E,環境違規,違反環境法規次數-空氣,,次,2023,0
E,環境違規,違反環境法規金額-水,,元,2023,0
E,環境違規,違反環境法規次數-水,,次,2023,0
S,員工薪資,平均薪資,,仟元,2020,841
S,員工薪資,薪資中位數,,仟元,2020,770
S,員工薪資,平均薪資,,仟元,2019,762
S,員工薪資,薪資中位數,,仟元,2019,675
S,員工薪資,平均薪資,,仟元,2018,782
G,資本額,資本額,,元,2020,797751210
G,資本額,資本額,,元,2019,797751210
