分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,187251.45
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,62703.27
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,249954.72
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,215804.25999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,61436.53
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,277240.79
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,361425.66
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,42971.89
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,404397.55
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,2873.4739373482253
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,355119.91
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,35784.52
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,390904.43
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,2650.051122560865
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,377513.6
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,35402.71
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,412916.31
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,2684.298236182131
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,351473.99
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,33377.47
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,384851.45999999996
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,3149.5147588803334
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,332196.55000000005
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,32486.23
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,364682.78
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,4494.917619072564
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,332196.552
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,32939.222
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,4500.501021480361
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,365135.77400000003
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,351473.993
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,34951.262
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,3162.394249008686
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,386425.255
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,377513.596
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,36797.566
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,2693.365930222444
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,414311.162
