分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,5214.909800000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,19860.1162
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,25075.026
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2022,5221
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2022,20005
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2022,8642
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2022,25226
E,能源使用狀況,總用電量,true,度（KWh）,2022,39181600
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2022,624
E,能源使用狀況,再生能源發電量,true,度（KWh）,2022,720000
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司自110年起每年執行溫室氣體排放量第三方查證，因111年因報告邊界變更(類別3~類別5)，故變更以110年為基準年，自110年起，每年單位產品溫室氣體排放量較基準年減少1 %。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,水資源,總取水量,true,,2022,720.615
E,水資源,回收水量,true,,2022,NA
E,水資源,耗用水量,true,,2022,138283
E,水資源,排放水量,true,,2022,582332
E,廢棄物管理,一般事業廢棄物,true,,2022,878
E,廢棄物管理,有害事業廢棄物,true,,2022,148
E,廢棄物管理,資源化再利用,true,,2022,394
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.226
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.02
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.02
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,9.376
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,16.609
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,15.324
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,17.404
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,29.198000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.357
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,17.04
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.583
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.026000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,21.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.513
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.042
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,57.474999999999994
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.652
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.40099999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.054
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,78.711
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.5980000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.366
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.06199999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,79.346
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.91
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,0.491
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.139
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,71.705
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.393
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,0.241
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.049
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,37.162
E,環境違規,違反環境法規金額-misc,,元,2011,106000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,66000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,100000
E,環境違規,違反環境法規次數-空氣,,次,2012,1
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2014,120000
E,環境違規,違反環境法規次數-misc,,次,2014,2
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,100000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2020,100000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2023,6000
E,環境違規,違反環境法規次數-misc,,次,2023,1
E,環境違規,違反環境法規金額-空氣,,元,2023,0
E,環境違規,違反環境法規次數-空氣,,次,2023,0
E,環境違規,違反環境法規金額-水,,元,2023,0
E,環境違規,違反環境法規次數-水,,次,2023,0
S,員工組成,正式員工,true,人,2022,1019
S,員工組成,性別比,true,人,2022,2.5259515570934257
S,員工組成,是否聘用移工,true,人,2022,191
S,員工組成,是否聘用身障人士,true,人,2022,無揭露
S,員工組成,是否聘用原住民,true,人,2022,NA
S,員工薪資,平均薪資,,仟元,2020,741
S,員工薪資,薪資中位數,,仟元,2020,714
S,員工薪資,平均薪資,,仟元,2019,766
S,員工薪資,薪資中位數,,仟元,2019,704
S,員工薪資,平均薪資,,仟元,2018,721
S,職業健康,職災事故,true,,2022,4
S,職業健康,工安意外,true,,2022,否
G,資本額,資本額,,元,2020,1403524800
G,資本額,資本額,,元,2019,1403524800
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,是否產製CSR報告,是否編撰報告書,true,,2022,是
G,營運狀況,營業收入,,仟元,2020,2442176
G,營運狀況,營業成本,,仟元,2020,1914775
G,營運狀況,營業費用,,仟元,2020,451509
G,營運狀況,淨利,,仟元,2020,115558
G,營運狀況,營業收入,,仟元,2019,2649059
G,營運狀況,營業成本,,仟元,2019,1759619
G,營運狀況,營業費用,,仟元,2019,458572
G,營運狀況,淨利,,仟元,2019,317028
G,營運狀況,營業收入,,仟元,2018,2121873
G,營運狀況,營業成本,,仟元,2018,1400927
G,營運狀況,營業費用,,仟元,2018,421397
G,營運狀況,淨利,,仟元,2018,198885
G,營運狀況,營業收入,,仟元,2017,1855819
G,營運狀況,營業成本,,仟元,2017,1248343
G,營運狀況,營業費用,,仟元,2017,353013
G,營運狀況,淨利,,仟元,2017,167109
G,稅務透明度,營利事業所得稅稅額,true,元,2022,NA
G,稅務透明度,政府補助、補貼金額,true,元,2022,NA
G,稅務透明度,研發投入費用,true,元,2022,143000000
G,ISO認證,ISO 9001,true,,2022,是
G,ISO認證,ISO 14001,true,,2022,是
G,ISO認證,ISO 45001,true,,2022,是
G,ISO認證,ISO 50001,true,,2022,否
