分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,710
S,員工薪資,薪資中位數,仟元,2020,648
S,員工薪資,平均薪資,仟元,2019,671
S,員工薪資,薪資中位數,仟元,2019,597
S,員工薪資,平均薪資,仟元,2018,694
S,員工薪資,薪資中位數,仟元,2018,NaN
G,資本額,資本額,元,2020,683309280
G,資本額,資本額,元,2019,683309280
G,營運狀況,營業收入,仟元,2020,1689699
G,營運狀況,營業成本,仟元,2020,1058063
G,營運狀況,營業費用,仟元,2020,422960
G,營運狀況,淨利,仟元,2020,123054
G,營運狀況,營業收入,仟元,2019,1392749
G,營運狀況,營業成本,仟元,2019,854857
G,營運狀況,營業費用,仟元,2019,374787
G,營運狀況,淨利,仟元,2019,120162
G,營運狀況,營業收入,仟元,2018,1195833
G,營運狀況,營業成本,仟元,2018,712578
G,營運狀況,營業費用,仟元,2018,285270
G,營運狀況,淨利,仟元,2018,140079
G,營運狀況,營業收入,仟元,2017,1004137
G,營運狀況,營業成本,仟元,2017,469902
G,營運狀況,營業費用,仟元,2017,170115
G,營運狀況,淨利,仟元,2017,242791
G,營運狀況,營業收入,仟元,2016,506163
G,營運狀況,營業成本,仟元,2016,239259
G,營運狀況,營業費用,仟元,2016,134475
G,營運狀況,淨利,仟元,2016,102014
