分類,子分類,項目,單位,年份,數值
G,收入、成本與淨利,營業收入,仟元,2020,127104736
G,收入、成本與淨利,營業成本,仟元,2020,116143614
G,收入、成本與淨利,營業費用,仟元,2020,8422821
G,收入、成本與淨利,淨利,仟元,2020,3730920
G,收入、成本與淨利,營業收入,仟元,2019,119723967
G,收入、成本與淨利,營業成本,仟元,2019,109112920
G,收入、成本與淨利,營業費用,仟元,2019,7903952
G,收入、成本與淨利,淨利,仟元,2019,3385400
G,收入、成本與淨利,營業收入,仟元,2018,128443831
G,收入、成本與淨利,營業成本,仟元,2018,117419689
G,收入、成本與淨利,營業費用,仟元,2018,7011464
G,收入、成本與淨利,淨利,仟元,2018,3980158
G,收入、成本與淨利,營業收入,仟元,2017,130816160
G,收入、成本與淨利,營業成本,仟元,2017,115738181
G,收入、成本與淨利,營業費用,仟元,2017,5779370
G,收入、成本與淨利,淨利,仟元,2017,6954330
G,收入、成本與淨利,營業收入,仟元,2016,79361173
G,收入、成本與淨利,營業成本,仟元,2016,70351479
G,收入、成本與淨利,營業費用,仟元,2016,5101766
G,收入、成本與淨利,淨利,仟元,2016,2897420
