分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.54
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,2.226
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,4.62
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,2.59
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.5099999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.77
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.36
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.55
E,環境違規,違反環境法規金額-misc,,元,2013,6000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
S,員工薪資,平均薪資,,仟元,2020,580
S,員工薪資,薪資中位數,,仟元,2020,443
S,員工薪資,平均薪資,,仟元,2019,589
S,員工薪資,薪資中位數,,仟元,2019,451
S,員工薪資,平均薪資,,仟元,2018,589
G,資本額,資本額,,元,2020,1282072780
G,資本額,資本額,,元,2019,1282072780
G,營運狀況,營業收入,,仟元,2020,1901238
G,營運狀況,營業成本,,仟元,2020,1535866
G,營運狀況,營業費用,,仟元,2020,361528
G,營運狀況,淨利,,仟元,2020,32823
G,營運狀況,營業收入,,仟元,2019,2259604
G,營運狀況,營業成本,,仟元,2019,1863247
G,營運狀況,營業費用,,仟元,2019,453657
G,營運狀況,淨利,,仟元,2019,-277723
G,營運狀況,營業收入,,仟元,2018,2614351
G,營運狀況,營業成本,,仟元,2018,2167693
G,營運狀況,營業費用,,仟元,2018,425426
G,營運狀況,淨利,,仟元,2018,44302
G,營運狀況,營業收入,,仟元,2017,2586061
G,營運狀況,營業成本,,仟元,2017,2252731
G,營運狀況,營業費用,,仟元,2017,404493
G,營運狀況,淨利,,仟元,2017,-201837
G,營運狀況,營業收入,,仟元,2016,3333970
G,營運狀況,營業成本,,仟元,2016,2901086
G,營運狀況,營業費用,,仟元,2016,427805
G,營運狀況,淨利,,仟元,2016,-84928
