分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,325878.77
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,17406.85
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,343285.62
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,353488.49
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,4336.39
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,357824.88
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,366865.11
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,4300.88
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,371165.99
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,381475.68
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,3047.04
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,384522.72
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,32641.664091707047
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,397722.70999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,5289.15
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,403011.86
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,33322.903488797056
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,420509.84
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,3013.8
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,423523.64
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,11103.650131060327
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,373001.25
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,3989.75
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,376991
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,5246.124246216926
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,369209.37
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,3525.24
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,372734.61
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,4001.9932950557695
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,378803.45999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,3195.71
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,381999.17
