分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額,,元,2011,6000
E,環境違規,違反環境法規次數,,次,2011,1
S,員工薪資,平均薪資,,仟元,2020,1954
S,員工薪資,薪資中位數,,仟元,2020,1831
S,員工薪資,平均薪資,,仟元,2019,1803
S,員工薪資,薪資中位數,,仟元,2019,1655
S,員工薪資,平均薪資,,仟元,2018,1799
G,資本額,資本額,,元,2020,1201368760
G,資本額,資本額,,元,2019,1201368760
G,營運狀況,營業收入,,仟元,2020,13804562
G,營運狀況,營業成本,,仟元,2020,9018737
G,營運狀況,營業費用,,仟元,2020,2495301
G,營運狀況,淨利,,仟元,2020,2164113
G,營運狀況,營業收入,,仟元,2019,13802738
G,營運狀況,營業成本,,仟元,2019,9417393
G,營運狀況,營業費用,,仟元,2019,2308582
G,營運狀況,淨利,,仟元,2019,1938157
G,營運狀況,營業收入,,仟元,2018,10330505
G,營運狀況,營業成本,,仟元,2018,7460479
G,營運狀況,營業費用,,仟元,2018,1827512
G,營運狀況,淨利,,仟元,2018,1013820
G,營運狀況,營業收入,,仟元,2017,9431062
G,營運狀況,營業成本,,仟元,2017,6916729
G,營運狀況,營業費用,,仟元,2017,1660796
G,營運狀況,淨利,,仟元,2017,891234
G,營運狀況,營業收入,,仟元,2016,10189747
G,營運狀況,營業成本,,仟元,2016,7307865
G,營運狀況,營業費用,,仟元,2016,1636158
G,營運狀況,淨利,,仟元,2016,1099027
