分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.266
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.012
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,0.014000000000000002
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.631
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.009000000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.006
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.009000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.187
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.001
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,0.004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.003
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.004
E,環境違規,違反環境法規金額-misc,,元,2015,10000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,1500
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,15000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,145000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工薪資,平均薪資,,仟元,2020,517
S,員工薪資,薪資中位數,,仟元,2020,444
S,員工薪資,平均薪資,,仟元,2019,575
S,員工薪資,薪資中位數,,仟元,2019,529
S,員工薪資,平均薪資,,仟元,2018,616
G,資本額,資本額,,元,2020,676470680
G,資本額,資本額,,元,2019,676470680
