分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.02
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.021
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,60000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2016,72000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,0
E,環境違規,違反環境法規次數-misc,,次,2017,0
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,60000
E,環境違規,違反環境法規次數-水,,次,2017,1
E,環境違規,違反環境法規金額-misc,,元,2018,16000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工薪資,平均薪資,,仟元,2020,1612
S,員工薪資,薪資中位數,,仟元,2020,1243
S,員工薪資,平均薪資,,仟元,2019,1481
S,員工薪資,薪資中位數,,仟元,2019,1173
S,員工薪資,平均薪資,,仟元,2018,1360
G,資本額,資本額,,元,2020,7427602800
G,資本額,資本額,,元,2019,7427602800
G,營運狀況,營業收入,,仟元,2020,412780439
G,營運狀況,營業成本,,仟元,2020,339554721
G,營運狀況,營業費用,,仟元,2020,48253110
G,營運狀況,淨利,,仟元,2020,28386878
G,營運狀況,營業收入,,仟元,2019,351330493
G,營運狀況,營業成本,,仟元,2019,297842375
G,營運狀況,營業費用,,仟元,2019,41871426
G,營運狀況,淨利,,仟元,2019,13015029
G,營運狀況,營業收入,,仟元,2018,354187665
G,營運狀況,營業成本,,仟元,2018,302173389
G,營運狀況,營業費用,,仟元,2018,35038642
G,營運狀況,淨利,,仟元,2018,5272496
G,營運狀況,營業收入,,仟元,2017,433966791
G,營運狀況,營業成本,,仟元,2017,374562306
G,營運狀況,營業費用,,仟元,2017,46669648
G,營運狀況,淨利,,仟元,2017,16039994
G,營運狀況,營業收入,,仟元,2016,466802706
G,營運狀況,營業成本,,仟元,2016,400575339
G,營運狀況,營業費用,,仟元,2016,47475412
G,營運狀況,淨利,,仟元,2016,19618404
