分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,1470
S,員工薪資,薪資中位數,,仟元,2020,1349
S,員工薪資,平均薪資,,仟元,2019,1394
S,員工薪資,薪資中位數,,仟元,2019,1360
S,員工薪資,平均薪資,,仟元,2018,1371
G,資本額,資本額,,元,2020,5853532970
G,資本額,資本額,,元,2019,5853532970
G,營運狀況,營業收入,,仟元,2020,3985650
G,營運狀況,營業成本,,仟元,2020,3103145
G,營運狀況,營業費用,,仟元,2020,186598
G,營運狀況,淨利,,仟元,2020,255092
G,營運狀況,營業收入,,仟元,2019,4317241
G,營運狀況,營業成本,,仟元,2019,3728291
G,營運狀況,營業費用,,仟元,2019,225274
G,營運狀況,淨利,,仟元,2019,160938
G,營運狀況,營業收入,,仟元,2018,3773082
G,營運狀況,營業成本,,仟元,2018,3260155
G,營運狀況,營業費用,,仟元,2018,159095
G,營運狀況,淨利,,仟元,2018,84847
G,營運狀況,營業收入,,仟元,2017,3331863
G,營運狀況,營業成本,,仟元,2017,2460991
G,營運狀況,營業費用,,仟元,2017,176326
G,營運狀況,淨利,,仟元,2017,657311
G,營運狀況,營業收入,,仟元,2016,3580467
G,營運狀況,營業成本,,仟元,2016,2621142
G,營運狀況,營業費用,,仟元,2016,174875
G,營運狀況,淨利,,仟元,2016,908756
