分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.706
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,2.196
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.27
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,5.541
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,8.815
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.4609999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.809
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.313
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.129
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.755
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.313
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.56
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.159
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.277
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.123
E,環境違規,違反環境法規金額-misc,,元,2016,15000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
S,員工薪資,平均薪資,,仟元,2020,492
S,員工薪資,薪資中位數,,仟元,2020,467
S,員工薪資,平均薪資,,仟元,2019,538
S,員工薪資,薪資中位數,,仟元,2019,508
S,員工薪資,平均薪資,,仟元,2018,551
G,資本額,資本額,,元,2020,404550000
G,資本額,資本額,,元,2019,404550000
