分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,208919.27
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,45961.97
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2005,254881.24
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2008,1006897.51
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2008,40572.89
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2008,1047470.4
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2009,1181438.9
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2009,41887.509999999995
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2009,1223326.41
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2010,1014189.6599999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2010,2711.81
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2010,1016901.47
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,1368583.8
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,175378.27000000002
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,1543962.07
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,1426567.3
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,174168.26
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,1600735.56
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,1715629.8200000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,205046.27
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,1920676.0900000003
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,7568.664864513618
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,1974799.96
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,199833.95
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,2174633.91
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,6523.385730188742
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,1964661.4
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,158559.05
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,2123220.4499999997
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,5514.411286295466
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,1735994.1400000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,176334.75
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,1912328.8900000001
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,6455.316034306399
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,915161.47
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,162892.8
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,1078054.27
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,6131.1984831791815
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,1155015.06
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,182267
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,7605.499988284199
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,1337282.06
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,1772465.74
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,142954.39
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
