分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,13876445
G,營運狀況,營業成本,,仟元,2020,7204323
G,營運狀況,營業費用,,仟元,2020,3613711
G,營運狀況,淨利,,仟元,2020,3241795
G,營運狀況,營業收入,,仟元,2019,10777781
G,營運狀況,營業成本,,仟元,2019,5662486
G,營運狀況,營業費用,,仟元,2019,2799118
G,營運狀況,淨利,,仟元,2019,2325882
G,營運狀況,營業收入,,仟元,2018,9414159
G,營運狀況,營業成本,,仟元,2018,5016304
G,營運狀況,營業費用,,仟元,2018,2501927
G,營運狀況,淨利,,仟元,2018,1829851
G,營運狀況,營業收入,,仟元,2017,8599237
G,營運狀況,營業成本,,仟元,2017,4494632
G,營運狀況,營業費用,,仟元,2017,2250667
G,營運狀況,淨利,,仟元,2017,1808017
G,營運狀況,營業收入,,仟元,2016,7138903
G,營運狀況,營業成本,,仟元,2016,3738293
G,營運狀況,營業費用,,仟元,2016,1962295
G,營運狀況,淨利,,仟元,2016,1469656
