年份,Tot數值,Tot變化,是推估值
2019,1912520,100,
2020,1920555.73,100.42,T
2021,1928591.47,100.84,T
2022,1936627.2,101.26,T
2023,1944662.93,101.68,T
2024,1952698.67,102.1,T
2025,1960734.4,102.52,
2026,1813679.32,94.83,T
2027,1666624.24,87.14,T
2028,1519569.16,79.45,T
2029,1372514.08,71.76,T
2030,1225459,64.08,
2031,1164186.05,60.87,T
2032,1102913.1,57.67,T
2033,1041640.15,54.46,T
2034,980367.2,51.26,T
2035,919094.25,48.06,T
2036,857821.3,44.85,T
2037,796548.35,41.65,T
2038,735275.4,38.45,T
2039,674002.45,35.24,T
2040,612729.5,32.04,T
2041,551456.55,28.83,T
2042,490183.6,25.63,T
2043,428910.65,22.43,T
2044,367637.7,19.22,T
2045,306364.75,16.02,T
2046,245091.8,12.82,T
2047,183818.85,9.61,T
2048,122545.9,6.41,T
2049,61272.95,3.2,T
2050,0,0,
