分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,88613.07
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,193352.93
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,281966
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,79744.34999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,193915.37
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,273659.72
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,64502.379999999976
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,143730.89
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,208233.27
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,94080.36000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,183743.28
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,277823.64
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,107693.4
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,219756.29
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,327449.69
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,3362.3514446624404
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,100244.12999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,213356.92
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,313601.05
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,2821.1384424975017
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,94629.63
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,184445.31
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,279074.94
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,2883.828720945865
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,92327.94999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,180373.02
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,272700.97
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,3138.044948565359
E,環境違規,違反環境法規金額-misc,,元,2010,206000
E,環境違規,違反環境法規次數-misc,,次,2010,2
