分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,491
S,員工薪資,薪資中位數,仟元,2020,432
S,員工薪資,平均薪資,仟元,2019,465
S,員工薪資,薪資中位數,仟元,2019,411
S,員工薪資,平均薪資,仟元,2018,573
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1563868360
G,,資本額,元,2019,1563868360
G,收入、成本與淨利,營業收入,仟元,2020,7433603
G,收入、成本與淨利,營業成本,仟元,2020,6927021
G,收入、成本與淨利,營業費用,仟元,2020,395403
G,收入、成本與淨利,淨利,仟元,2020,40157
G,收入、成本與淨利,營業收入,仟元,2019,8727904
G,收入、成本與淨利,營業成本,仟元,2019,8214770
G,收入、成本與淨利,營業費用,仟元,2019,415515
G,收入、成本與淨利,淨利,仟元,2019,7906
G,收入、成本與淨利,營業收入,仟元,2018,8553613
G,收入、成本與淨利,營業成本,仟元,2018,8052507
G,收入、成本與淨利,營業費用,仟元,2018,449752
G,收入、成本與淨利,淨利,仟元,2018,870508
G,收入、成本與淨利,營業收入,仟元,2017,8543607
G,收入、成本與淨利,營業成本,仟元,2017,7862439
G,收入、成本與淨利,營業費用,仟元,2017,407329
G,收入、成本與淨利,淨利,仟元,2017,209456
G,收入、成本與淨利,營業收入,仟元,2016,7465565
G,收入、成本與淨利,營業成本,仟元,2016,6676691
G,收入、成本與淨利,營業費用,仟元,2016,409953
G,收入、成本與淨利,淨利,仟元,2016,280950
