分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,1710
S,員工薪資,薪資中位數,仟元,2020,1476
S,員工薪資,平均薪資,仟元,2019,2416
S,員工薪資,薪資中位數,仟元,2019,2054
S,員工薪資,平均薪資,仟元,2018,1641
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1925397460
G,,資本額,元,2019,1925397460
G,收入、成本與淨利,營業收入,仟元,2020,2071615
G,收入、成本與淨利,營業成本,仟元,2020,1413905
G,收入、成本與淨利,營業費用,仟元,2020,1013062
G,收入、成本與淨利,淨利,仟元,2020,-240957
G,收入、成本與淨利,營業收入,仟元,2019,2011515
G,收入、成本與淨利,營業成本,仟元,2019,1261870
G,收入、成本與淨利,營業費用,仟元,2019,1197792
G,收入、成本與淨利,淨利,仟元,2019,-317817
G,收入、成本與淨利,營業收入,仟元,2018,2412587
G,收入、成本與淨利,營業成本,仟元,2018,1987374
G,收入、成本與淨利,營業費用,仟元,2018,1495241
G,收入、成本與淨利,淨利,仟元,2018,-762252
G,收入、成本與淨利,營業收入,仟元,2017,3187062
G,收入、成本與淨利,營業成本,仟元,2017,2274329
G,收入、成本與淨利,營業費用,仟元,2017,1547891
G,收入、成本與淨利,淨利,仟元,2017,-469104
G,收入、成本與淨利,營業收入,仟元,2016,3400744
G,收入、成本與淨利,營業成本,仟元,2016,2154403
G,收入、成本與淨利,營業費用,仟元,2016,1624234
G,收入、成本與淨利,淨利,仟元,2016,-575308
