分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,504
S,員工薪資,薪資中位數,仟元,2020,462
S,員工薪資,平均薪資,仟元,2019,514
S,員工薪資,薪資中位數,仟元,2019,461
S,員工薪資,平均薪資,仟元,2018,409
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1900000000
G,,資本額,元,2019,1900000000
G,營運狀況,營業收入,仟元,2020,961757
G,營運狀況,營業成本,仟元,2020,843871
G,營運狀況,營業費用,仟元,2020,120193
G,營運狀況,淨利,仟元,2020,45183
G,營運狀況,營業收入,仟元,2019,1009744
G,營運狀況,營業成本,仟元,2019,950515
G,營運狀況,營業費用,仟元,2019,112394
G,營運狀況,淨利,仟元,2019,51994
G,營運狀況,營業收入,仟元,2018,921039
G,營運狀況,營業成本,仟元,2018,782171
G,營運狀況,營業費用,仟元,2018,164958
G,營運狀況,淨利,仟元,2018,40703
G,營運狀況,營業收入,仟元,2017,599466
G,營運狀況,營業成本,仟元,2017,553557
G,營運狀況,營業費用,仟元,2017,149774
G,營運狀況,淨利,仟元,2017,-102701
G,營運狀況,營業收入,仟元,2016,576532
G,營運狀況,營業成本,仟元,2016,440688
G,營運狀況,營業費用,仟元,2016,127518
G,營運狀況,淨利,仟元,2016,-45484
