分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,28695.120000000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,21371.6
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,50066.72
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,849.6000746651733
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,57233.63999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,46236.4
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,51735.02
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,1570.9931642769016
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,29423.61
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,23695.47
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,53119.08
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,691.6633332916662
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,22495.43
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,17902.14
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,40397.57
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,707.081797657073
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,18609.32
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,13423.35
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,32032.67
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,879.5039934060545
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,29.8
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,34.309
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,9.547
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,78.143
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,42.891999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,34.007000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,7.843999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,80.801
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,22.641000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,15.538
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,5.625
