分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,133.27
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,441.49
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,574.76
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,117.11
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,415.53
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,532.64
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,137.294
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,408.708
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,546.0020000000001
E,能源使用狀況,總用電量,true,NA,2018,NA
E,能源使用狀況,再生能源設置量,true,NA,2018,NA
E,能源使用狀況,再生能源發電量,true,NA,2018,NA
E,能源使用狀況,總用電量,true,NA,2019,NA
E,能源使用狀況,再生能源設置量,true,NA,2019,NA
E,能源使用狀況,再生能源發電量,true,NA,2019,NA
E,能源使用狀況,總用電量,true,NA,2020,NA
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,能源使用狀況,總用電量,true,度（KWh）,2021,960840
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司111年度溫室氣體排放量減量目標訂定為母公司高科廠單位產品溫室氣體排放總當量減少0.5%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,水資源,總取水量,true,,2018,無揭露
E,水資源,回收水量,true,,2018,無揭露
E,水資源,耗用水量,true,,2018,無揭露
E,水資源,排放水量,true,噸,2018,1146
E,水資源,總取水量,true,,2019,無揭露
E,水資源,回收水量,true,,2019,無揭露
E,水資源,耗用水量,true,,2019,無揭露
E,水資源,排放水量,true,噸,2019,365.9
E,水資源,總取水量,true,,2020,無揭露
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,噸,2020,386.96
E,水資源,總取水量,true,,2021,2840
E,水資源,回收水量,true,,2021,NA
E,水資源,耗用水量,true,,2021,1500
E,水資源,排放水量,true,,2021,1350
E,廢棄物管理,一般事業廢棄物,true,噸,2018,13.6
E,廢棄物管理,有害事業廢棄物,true,無揭露,2018,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2018,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2019,21.9
E,廢棄物管理,有害事業廢棄物,true,無揭露,2019,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2019,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,46.4
E,廢棄物管理,有害事業廢棄物,true,無揭露,2020,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,,2021,58.938
E,廢棄物管理,有害事業廢棄物,true,,2021,0
E,廢棄物管理,資源化再利用,true,,2021,14.9
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.645
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.931
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,20.523000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.948
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1.368
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,28.645
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.882
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.2730000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,29.987000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.474
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,1.026
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,31.212
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.121
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,25.686
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.614
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.8850000000000001
