分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2005,228882.38
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2005,228882.38
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2013,429407.85000000003
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2013,429407.85000000003
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,452871.57
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,452871.57
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,724596.45
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,724596.45
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,661282.8400000001
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,661282.8400000001
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,709907.0800000001
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,709907.0800000001
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,858206.81
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,858206.81
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,795357.3
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,795357.3
