分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2012,6000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
G,營運狀況,營業收入,,仟元,2020,922384
G,營運狀況,營業成本,,仟元,2020,487163
G,營運狀況,營業費用,,仟元,2020,201590
G,營運狀況,淨利,,仟元,2020,206985
G,營運狀況,營業收入,,仟元,2019,746097
G,營運狀況,營業成本,,仟元,2019,428532
G,營運狀況,營業費用,,仟元,2019,182965
G,營運狀況,淨利,,仟元,2019,127216
G,營運狀況,營業收入,,仟元,2018,786289
G,營運狀況,營業成本,,仟元,2018,476601
G,營運狀況,營業費用,,仟元,2018,202426
G,營運狀況,淨利,,仟元,2018,87391
G,營運狀況,營業收入,,仟元,2017,838784
G,營運狀況,營業成本,,仟元,2017,514261
G,營運狀況,營業費用,,仟元,2017,213928
G,營運狀況,淨利,,仟元,2017,93652
G,營運狀況,營業收入,,仟元,2016,863821
G,營運狀況,營業成本,,仟元,2016,554267
G,營運狀況,營業費用,,仟元,2016,224876
G,營運狀況,淨利,,仟元,2016,29889
