分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,833
S,員工薪資,薪資中位數,,仟元,2020,664
S,員工薪資,平均薪資,,仟元,2019,838
S,員工薪資,薪資中位數,,仟元,2019,700
G,營運狀況,營業收入,,仟元,2020,3159682
G,營運狀況,營業成本,,仟元,2020,2085787
G,營運狀況,營業費用,,仟元,2020,634713
G,營運狀況,淨利,,仟元,2020,342846
G,營運狀況,營業收入,,仟元,2019,3717808
G,營運狀況,營業成本,,仟元,2019,2599523
G,營運狀況,營業費用,,仟元,2019,698442
G,營運狀況,淨利,,仟元,2019,316341
G,營運狀況,營業收入,,仟元,2018,3147612
G,營運狀況,營業成本,,仟元,2018,2149748
G,營運狀況,營業費用,,仟元,2018,752897
G,營運狀況,淨利,,仟元,2018,296517
G,營運狀況,營業收入,,仟元,2017,3388569
G,營運狀況,營業成本,,仟元,2017,2095306
G,營運狀況,營業費用,,仟元,2017,814382
G,營運狀況,淨利,,仟元,2017,327406
