分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,5930965.93
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,5930965.93
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,6211726.960000001
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,6211726.960000001
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,5992412.109999999
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,5992412.109999999
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,6278523.74
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,6278523.74
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,6132619.94
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,6132619.94
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,5874543.93
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,5874543.93
