分類,子分類,項目,單位,年份,數值
E,環境違規,違反環境法規金額,元,2011,100000
E,環境違規,違反環境法規次數,次,2011,1
G,資本額,資本額,元,2020,788400000
G,資本額,資本額,元,2019,788400000
G,營運狀況,營業收入,仟元,2020,2395727
G,營運狀況,營業成本,仟元,2020,1529049
G,營運狀況,營業費用,仟元,2020,642932
G,營運狀況,淨利,仟元,2020,141230
G,營運狀況,營業收入,仟元,2019,3104455
G,營運狀況,營業成本,仟元,2019,2381783
G,營運狀況,營業費用,仟元,2019,651043
G,營運狀況,淨利,仟元,2019,82075
G,營運狀況,營業收入,仟元,2018,2859073
G,營運狀況,營業成本,仟元,2018,2104299
G,營運狀況,營業費用,仟元,2018,661392
G,營運狀況,淨利,仟元,2018,199052
G,營運狀況,營業收入,仟元,2017,2358346
G,營運狀況,營業成本,仟元,2017,1603834
G,營運狀況,營業費用,仟元,2017,559944
G,營運狀況,淨利,仟元,2017,42220
G,營運狀況,營業收入,仟元,2016,1719086
G,營運狀況,營業成本,仟元,2016,1167297
G,營運狀況,營業費用,仟元,2016,534296
G,營運狀況,淨利,仟元,2016,-26529
