分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報,氮氧化物,,,2015,0.004
E,空氣污染物申報,硫氧化物,,,2015,0
E,空氣污染物申報,粒狀污染物,,,2015,0
E,空氣污染物申報,揮發性有機化合物,,,2015,0.03
E,空氣污染物申報,氮氧化物,,,2016,0.047999999999999994
E,空氣污染物申報,硫氧化物,,,2016,0
E,空氣污染物申報,粒狀污染物,,,2016,0
E,空氣污染物申報,揮發性有機化合物,,,2016,0.025
E,空氣污染物申報,苯,,,2017,0
E,空氣污染物申報,四氯化碳,,,2017,0
E,空氣污染物申報,1-1-二氯乙烷,,,2017,0
E,空氣污染物申報,1-2-二氯乙烷,,,2017,0
E,空氣污染物申報,戴奧辛,,,2017,0
E,空氣污染物申報,乙苯,,,2017,0
E,空氣污染物申報,二氯甲烷,,,2017,0
E,空氣污染物申報,氮氧化物,,,2017,0.009000000000000001
E,空氣污染物申報,硫氧化物,,,2017,0
E,空氣污染物申報,苯乙烯,,,2017,0
E,空氣污染物申報,粒狀污染物,,,2017,0
E,空氣污染物申報,四氯乙烯,,,2017,0
E,空氣污染物申報,甲苯,,,2017,0
E,空氣污染物申報,三氯乙烷,,,2017,0
E,空氣污染物申報,三氯乙烯,,,2017,0
E,空氣污染物申報,揮發性有機化合物,,,2017,0.027
E,空氣污染物申報,二甲苯,,,2017,0
E,空氣污染物申報,三氯甲烷,,,2017,0
E,空氣污染物申報,重金屬,,,2017,0
E,空氣污染物申報,苯,,,2018,0
E,空氣污染物申報,四氯化碳,,,2018,0
E,空氣污染物申報,1-1-二氯乙烷,,,2018,0
E,空氣污染物申報,1-2-二氯乙烷,,,2018,0
E,空氣污染物申報,戴奧辛,,,2018,0
E,空氣污染物申報,乙苯,,,2018,0
E,空氣污染物申報,二氯甲烷,,,2018,0
E,空氣污染物申報,氮氧化物,,,2018,0.04800000000000001
E,空氣污染物申報,硫氧化物,,,2018,0
E,空氣污染物申報,苯乙烯,,,2018,0
E,空氣污染物申報,粒狀污染物,,,2018,0.016
E,空氣污染物申報,四氯乙烯,,,2018,0
E,空氣污染物申報,甲苯,,,2018,0
E,空氣污染物申報,三氯乙烷,,,2018,0
E,空氣污染物申報,三氯乙烯,,,2018,0
E,空氣污染物申報,揮發性有機化合物,,,2018,3.9300000000000006
E,空氣污染物申報,二甲苯,,,2018,0
E,空氣污染物申報,三氯甲烷,,,2018,0
E,空氣污染物申報,重金屬,,,2018,0
E,空氣污染物申報,苯,,,2019,0
E,空氣污染物申報,四氯化碳,,,2019,0
E,空氣污染物申報,1-1-二氯乙烷,,,2019,0
E,空氣污染物申報,1-2-二氯乙烷,,,2019,0
E,空氣污染物申報,戴奧辛,,,2019,0
E,空氣污染物申報,乙苯,,,2019,0
E,空氣污染物申報,二氯甲烷,,,2019,0
E,空氣污染物申報,氮氧化物,,,2019,0.06400000000000002
E,空氣污染物申報,硫氧化物,,,2019,0
E,空氣污染物申報,苯乙烯,,,2019,0
E,空氣污染物申報,粒狀污染物,,,2019,0.003
E,空氣污染物申報,四氯乙烯,,,2019,0
E,空氣污染物申報,甲苯,,,2019,0
E,空氣污染物申報,三氯乙烷,,,2019,0
E,空氣污染物申報,三氯乙烯,,,2019,0
E,空氣污染物申報,揮發性有機化合物,,,2019,1.4479999999999997
E,空氣污染物申報,二甲苯,,,2019,0
E,空氣污染物申報,三氯甲烷,,,2019,0
E,空氣污染物申報,重金屬,,,2019,0
E,空氣污染物申報,苯,,,2020,0
E,空氣污染物申報,四氯化碳,,,2020,0
E,空氣污染物申報,1-1-二氯乙烷,,,2020,0
E,空氣污染物申報,1-2-二氯乙烷,,,2020,0
E,空氣污染物申報,戴奧辛,,,2020,0
E,空氣污染物申報,乙苯,,,2020,0
E,空氣污染物申報,二氯甲烷,,,2020,0
E,空氣污染物申報,氮氧化物,,,2020,0.14800000000000002
E,空氣污染物申報,硫氧化物,,,2020,0
E,空氣污染物申報,苯乙烯,,,2020,0
E,空氣污染物申報,粒狀污染物,,,2020,0.008
E,空氣污染物申報,四氯乙烯,,,2020,0
E,空氣污染物申報,甲苯,,,2020,0
E,空氣污染物申報,三氯乙烷,,,2020,0
E,空氣污染物申報,三氯乙烯,,,2020,0
E,空氣污染物申報,揮發性有機化合物,,,2020,1.1980000000000002
E,空氣污染物申報,二甲苯,,,2020,0
E,空氣污染物申報,三氯甲烷,,,2020,0
E,空氣污染物申報,重金屬,,,2020,0
E,空氣污染物申報,苯,,,2021,0
E,空氣污染物申報,四氯化碳,,,2021,0
E,空氣污染物申報,1-1-二氯乙烷,,,2021,0
E,空氣污染物申報,1-2-二氯乙烷,,,2021,0
E,空氣污染物申報,戴奧辛,,,2021,0
E,空氣污染物申報,乙苯,,,2021,0
E,空氣污染物申報,二氯甲烷,,,2021,0
E,空氣污染物申報,氮氧化物,,,2021,0.079
E,空氣污染物申報,硫氧化物,,,2021,0
E,空氣污染物申報,苯乙烯,,,2021,0
E,空氣污染物申報,粒狀污染物,,,2021,0.008
E,空氣污染物申報,四氯乙烯,,,2021,0
E,空氣污染物申報,甲苯,,,2021,0
E,空氣污染物申報,三氯乙烷,,,2021,0
E,空氣污染物申報,三氯乙烯,,,2021,0
E,空氣污染物申報,揮發性有機化合物,,,2021,0.257
E,空氣污染物申報,二甲苯,,,2021,0
E,空氣污染物申報,三氯甲烷,,,2021,0
E,空氣污染物申報,重金屬,,,2021,0
S,員工薪資,平均薪資,,仟元,2020,795
S,員工薪資,薪資中位數,,仟元,2020,719
S,員工薪資,平均薪資,,仟元,2019,753
S,員工薪資,薪資中位數,,仟元,2019,677
S,員工薪資,平均薪資,,仟元,2018,897
G,資本額,資本額,,元,2020,2800687900
G,資本額,資本額,,元,2019,2800687900
G,營運狀況,營業收入,,仟元,2020,4039180
G,營運狀況,營業成本,,仟元,2020,3795221
G,營運狀況,營業費用,,仟元,2020,232471
G,營運狀況,淨利,,仟元,2020,25693
G,營運狀況,營業收入,,仟元,2019,3854729
G,營運狀況,營業成本,,仟元,2019,3609323
G,營運狀況,營業費用,,仟元,2019,239007
G,營運狀況,淨利,,仟元,2019,10478
G,營運狀況,營業收入,,仟元,2018,4524026
G,營運狀況,營業成本,,仟元,2018,3754038
G,營運狀況,營業費用,,仟元,2018,270508
G,營運狀況,淨利,,仟元,2018,430119
G,營運狀況,營業收入,,仟元,2017,3342938
G,營運狀況,營業成本,,仟元,2017,2879425
G,營運狀況,營業費用,,仟元,2017,242114
G,營運狀況,淨利,,仟元,2017,180310
G,營運狀況,營業收入,,仟元,2016,2790990
G,營運狀況,營業成本,,仟元,2016,2538946
G,營運狀況,營業費用,,仟元,2016,224578
G,營運狀況,淨利,,仟元,2016,20063
