分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,5.709
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,5.393000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,7.379999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,7.509999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,11.059999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,5.076
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,2.591
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,4.997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,3.8100000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.10700000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,5.059000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,5.011
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.149
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,5.207000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,4.286
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.026
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.134
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,5.797999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.8899999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.07100000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.122
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,8.062999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.031
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.097
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,8.689
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.14700000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.148
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,9.458
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.28800000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.14
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,8.299
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.3790000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.11800000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,11.3
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.6330000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.135
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,11.033
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.5940000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,0.156
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,4.781
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.429
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.03
E,環境違規,違反環境法規金額-misc,,元,2013,106000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,100000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2018,334000
E,環境違規,違反環境法規次數-misc,,次,2018,4
E,環境違規,違反環境法規金額-空氣,,元,2018,100000
E,環境違規,違反環境法規次數-空氣,,次,2018,1
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,0
E,環境違規,違反環境法規次數-misc,,次,2019,0
E,環境違規,違反環境法規金額-空氣,,元,2019,100000
E,環境違規,違反環境法規次數-空氣,,次,2019,1
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,0
E,環境違規,違反環境法規次數-misc,,次,2020,0
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,144000
E,環境違規,違反環境法規次數-水,,次,2020,2
E,環境違規,違反環境法規金額-misc,,元,2022,180000
E,環境違規,違反環境法規次數-misc,,次,2022,2
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,0
E,環境違規,違反環境法規次數-水,,次,2022,0
S,員工薪資,平均薪資,,仟元,2020,627
S,員工薪資,薪資中位數,,仟元,2020,614
S,員工薪資,平均薪資,,仟元,2019,603
S,員工薪資,薪資中位數,,仟元,2019,587
S,員工薪資,平均薪資,,仟元,2018,685
G,資本額,資本額,,元,2020,1334160000
G,資本額,資本額,,元,2019,1334160000
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
