分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,35114.67999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,205234.43
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,240349.11
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,33013.01000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,208192.27
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,241205.28
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,44372.17999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,221559.14
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,265931.32
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,51584.82999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,238436.6
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,290021.43
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,696.6225789200049
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,61287.32000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,329538.14
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,390825.46
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,711.6498523331709
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,78311.53999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,356351.01
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,434662.55
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,513.0468539126008
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,88700.63999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,373007.84
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,461708.48
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,892.5791017992804
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,90326.59999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,374426.52
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,464753.12
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,761.8214969879608
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,90327
