分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,27.042
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,16.436999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,57.221
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,47.717
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,125.71000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,28.921
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,15.190000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,50.703
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.06
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.015
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,50.522000000000006
E,環境違規,違反環境法規金額-misc,,元,2017,60000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
S,員工薪資,平均薪資,,仟元,2020,572
S,員工薪資,薪資中位數,,仟元,2020,485
S,員工薪資,平均薪資,,仟元,2019,507
S,員工薪資,薪資中位數,,仟元,2019,424
S,員工薪資,平均薪資,,仟元,2018,482
G,資本額,資本額,,元,2020,4457967300
G,資本額,資本額,,元,2019,4457967300
G,營運狀況,營業收入,,仟元,2020,4623829
G,營運狀況,營業成本,,仟元,2020,4134896
G,營運狀況,營業費用,,仟元,2020,398544
G,營運狀況,淨利,,仟元,2020,-284866
G,營運狀況,營業收入,,仟元,2019,4440874
G,營運狀況,營業成本,,仟元,2019,4221641
G,營運狀況,營業費用,,仟元,2019,315661
G,營運狀況,淨利,,仟元,2019,-200415
G,營運狀況,營業收入,,仟元,2018,3830638
G,營運狀況,營業成本,,仟元,2018,4488126
G,營運狀況,營業費用,,仟元,2018,343628
G,營運狀況,淨利,,仟元,2018,-1123309
G,營運狀況,營業收入,,仟元,2017,6635957
G,營運狀況,營業成本,,仟元,2017,6818314
G,營運狀況,營業費用,,仟元,2017,424116
G,營運狀況,淨利,,仟元,2017,-940541
G,營運狀況,營業收入,,仟元,2016,7754501
G,營運狀況,營業成本,,仟元,2016,7283481
G,營運狀況,營業費用,,仟元,2016,346087
G,營運狀況,淨利,,仟元,2016,17748
