分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.672
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1.1620000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,1.1440000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.525
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.784
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.5539999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.184
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.1
E,環境違規,違反環境法規金額-misc,,元,2012,6000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,106000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,250000
E,環境違規,違反環境法規次數-水,,次,2013,1
E,環境違規,違反環境法規金額-misc,,元,2017,100000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2019,6000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,1200
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,578
S,員工薪資,薪資中位數,,仟元,2020,548
S,員工薪資,平均薪資,,仟元,2019,551
S,員工薪資,薪資中位數,,仟元,2019,512
S,員工薪資,平均薪資,,仟元,2018,522
G,資本額,資本額,,元,2020,658000000
G,資本額,資本額,,元,2019,658000000
G,營運狀況,營業收入,,仟元,2020,441734
G,營運狀況,營業成本,,仟元,2020,394273
G,營運狀況,營業費用,,仟元,2020,129617
G,營運狀況,淨利,,仟元,2020,87165
G,營運狀況,營業收入,,仟元,2019,597237
G,營運狀況,營業成本,,仟元,2019,484961
G,營運狀況,營業費用,,仟元,2019,115061
G,營運狀況,淨利,,仟元,2019,403
