分類,子分類,項目,單位,年份,數值
G,收入、成本與淨利,營業收入,仟元,2020,9889935
G,收入、成本與淨利,營業成本,仟元,2020,8166970
G,收入、成本與淨利,營業費用,仟元,2020,1048944
G,收入、成本與淨利,淨利,仟元,2020,460937
G,收入、成本與淨利,營業收入,仟元,2019,10102252
G,收入、成本與淨利,營業成本,仟元,2019,8440721
G,收入、成本與淨利,營業費用,仟元,2019,1008069
G,收入、成本與淨利,淨利,仟元,2019,499593
G,收入、成本與淨利,營業收入,仟元,2018,10299435
G,收入、成本與淨利,營業成本,仟元,2018,8852461
G,收入、成本與淨利,營業費用,仟元,2018,1021005
G,收入、成本與淨利,淨利,仟元,2018,374727
G,收入、成本與淨利,營業收入,仟元,2017,10877652
G,收入、成本與淨利,營業成本,仟元,2017,9204396
G,收入、成本與淨利,營業費用,仟元,2017,1102801
G,收入、成本與淨利,淨利,仟元,2017,432100
G,收入、成本與淨利,營業收入,仟元,2016,10862433
G,收入、成本與淨利,營業成本,仟元,2016,9433902
G,收入、成本與淨利,營業費用,仟元,2016,1043510
G,收入、成本與淨利,淨利,仟元,2016,358500
