分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.014000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.01
E,環境違規,違反環境法規金額-misc,,元,2017,60000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
S,員工薪資,平均薪資,,仟元,2020,644
S,員工薪資,薪資中位數,,仟元,2020,582
S,員工薪資,平均薪資,,仟元,2019,593
S,員工薪資,薪資中位數,,仟元,2019,526
S,員工薪資,平均薪資,,仟元,2018,631
G,資本額,資本額,,元,2020,1456813820
G,資本額,資本額,,元,2019,1456813820
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,6208576
G,營運狀況,營業成本,,仟元,2020,4782103
G,營運狀況,營業費用,,仟元,2020,538281
G,營運狀況,淨利,,仟元,2020,571224
G,營運狀況,營業收入,,仟元,2019,5750790
G,營運狀況,營業成本,,仟元,2019,4466514
G,營運狀況,營業費用,,仟元,2019,563135
G,營運狀況,淨利,,仟元,2019,565619
G,營運狀況,營業收入,,仟元,2018,6842243
G,營運狀況,營業成本,,仟元,2018,5098201
G,營運狀況,營業費用,,仟元,2018,601491
G,營運狀況,淨利,,仟元,2018,985435
G,營運狀況,營業收入,,仟元,2017,7269188
G,營運狀況,營業成本,,仟元,2017,5222879
G,營運狀況,營業費用,,仟元,2017,531458
G,營運狀況,淨利,,仟元,2017,1092221
G,營運狀況,營業收入,,仟元,2016,8206855
G,營運狀況,營業成本,,仟元,2016,5755664
G,營運狀況,營業費用,,仟元,2016,618080
G,營運狀況,淨利,,仟元,2016,1495161
