分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,19480
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,126950
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,291.6858303573298
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,26590
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,133280
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,287.2428337117331
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,19890
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,130620
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,247.17324443482894
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2017,18890
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2017,143040
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2017,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2017,278.5463907032764
E,能源使用狀況,總用電量,true,度,2020,252734431.138
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,503442.2755335308
E,能源使用狀況,總用電量,true,度,2019,252292781.955
E,能源使用狀況,再生能源設置量,true,,2019,NA
E,能源使用狀況,再生能源發電量,true,,2019,NA
E,能源使用狀況,能源密集度,true,度/億元,2019,453301.3924674461
E,能源使用狀況,總用電量,true,度,2018,247814074.074
E,能源使用狀況,再生能源設置量,true,,2018,NA
E,能源使用狀況,再生能源發電量,true,,2018,NA
E,能源使用狀況,能源密集度,true,度/億元,2018,406969.6944089005
E,能源使用狀況,總用電量,true,度,2017,263982733.813
E,能源使用狀況,再生能源設置量,true,,2017,NA
E,能源使用狀況,再生能源發電量,true,,2017,NA
E,能源使用狀況,能源密集度,true,度/億元,2017,454093.97709871497
E,水資源,總取水量,true,噸,2020,1029036
E,水資源,回收水量,true,噸,2020,113920
E,水資源,耗用水量,true,噸,2020,744178
E,水資源,排放水量,true,噸,2020,284858
E,水資源,總取水量,true,噸,2019,1034216
E,水資源,回收水量,true,噸,2019,94832
E,水資源,耗用水量,true,噸,2019,734847
E,水資源,排放水量,true,噸,2019,299369
E,水資源,總取水量,true,噸,2018,1006952
E,水資源,回收水量,true,噸,2018,94016
E,水資源,耗用水量,true,噸,2018,752628
E,水資源,排放水量,true,噸,2018,254324
E,水資源,總取水量,true,噸,2017,982234
E,水資源,回收水量,true,噸,2017,75240
E,水資源,耗用水量,true,噸,2017,747723
E,水資源,排放水量,true,噸,2017,234511
E,廢棄物管理,一般事業廢棄物,true,噸,2020,372.36
E,廢棄物管理,有害事業廢棄物,true,噸,2020,16.72
E,廢棄物管理,資源化再利用,true,噸,2020,84.924
E,廢棄物管理,一般事業廢棄物,true,噸,2019,486.39
E,廢棄物管理,有害事業廢棄物,true,噸,2019,19.39
E,廢棄物管理,資源化再利用,true,噸,2019,230.42
E,廢棄物管理,一般事業廢棄物,true,噸,2018,316
E,廢棄物管理,有害事業廢棄物,true,噸,2018,0.99
E,廢棄物管理,資源化再利用,true,噸,2018,58.58
E,廢棄物管理,一般事業廢棄物,true,噸,2017,178.57
E,廢棄物管理,有害事業廢棄物,true,噸,2017,0.74
E,廢棄物管理,資源化再利用,true,噸,2017,118.07
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,11.661000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,14.280000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.167
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.5460000000000003
