app_year,companyno,companyname,scompanyno,controlno,city,town,companyaddr,ccksicco1,sicname1,co2,ch4,n2o,hfcs,pfcs,sf6,nf3,tot2,tot,cause,check_yn,cityno,townno
111,16083358,中華凸版電子股份有限公司,0001,H4903093,桃園市,八德區,桃園市八德區和平路11273號,2611,積體電路製造業,186.1808,0.3500,1.1622,4.6124,4050.5996,11.8560,0.00,17366.7953,21621.556,依法申報,是,,
111,16082267,力成科技股份有限公司文化一廠,0012,J59B1009,新竹縣,湖口鄉,新竹縣湖口鄉鳳山村文化路四號、四號二、三、四、五樓,2613,半導體封裝及測試業,15.0926,116.2025,0.1788,427.7840,0.0000,0.0000,0.00,57474.8312,58034.089,依法申報,是,,
111,16082267,力成科技股份有限公司新興廠,0011,J59B1316,新竹縣,湖口鄉,新竹縣湖口鄉鳳山村新興路四五八之二八號,2613,半導體封裝及測試業,13.4983,15.0025,0.1788,769.7824,0.0000,0.0000,0.00,38486.8440,39285.306,依法申報,是,,
111,16082267,力成科技股份有限公司竹科分公司,0010,O17K9082,新竹市,東區,力行三路15號,2613,半導體封裝及測試業,173.7183,67.0425,0.2086,0.4106,215.2700,205.2000,739.60,22562.9984,23964.448,依法申報,是,,
111,16082267,力成科技股份有限公司竹科三廠,0006,O17N2439,新竹市,東區,新竹市東區力行四路二九號,2611,積體電路製造業,617.5954,20.2700,0.3874,0.2860,18.5400,27.3600,0.00,10867.0429,11551.482,依法申報,是,,
111,16082267,力成科技股份有限公司3C廠,0005,J59A7436,新竹縣,湖口鄉,新竹工業園區大同路10號,2613,半導體封裝及測試業,27.5452,234.7125,0.2384,2374.0860,0.0000,0.0000,0.00,80544.8606,83181.443,依法申報,是,,
111,16082267,力成科技股份有限公司大同廠,0003,J59A0579,新竹縣,湖口鄉,鳳山村大同路26號,2613,半導體封裝及測試業,18.6751,157.0875,0.1788,297.9128,0.0000,0.0000,0.00,83331.1908,83805.045,依法申報,是,,
111,16082267,力成科技股份有限公司湖口廠,0002,J5909547,新竹縣,湖口鄉,鳳山村三民路7、7-1號,2699,未分類其他電子零組件製造業,22.9924,154.2950,0.1788,0.2860,0.0000,0.0000,0.00,47265.8046,47443.557,依法申報,是,,
111,15395706,義芳化學工業股份有限公司桃園廠,0001,H4601227,桃園市,蘆竹區,海湖村海湖東路377號,1810,基本化學材料製造業,311810.0594,111.1775,1416.8410,956.4000,0.0000,0.0000,0.00,61822.6281,376117.106,依法申報,是,,
111,14057995,東聯化學股份有限公司高雄林園廠,0001,S1900578,高雄市,林園區,工業三路三、五號,1820,石油化工原料製造業,30010.7531,45.7050,1.6688,376.2780,0.0000,0.0000,0.00,309618.7916,340053.197,依法申報,是,,
111,14040691,中美和石油化學股份有限公司台中廠,0002,L9101748,台中市,梧棲區,台中市梧棲區南堤路二段89號,1820,石油化工原料製造業,169967.1141,5086.7475,38.5612,55.0332,0.0000,75.2400,0.00,27902.7807,203125.477,依法申報,是,,
111,14001199,福懋興業股份有限公司第二廠,0002,P4601984,雲林縣,斗六市,榴中里河南街319號,1159,其他紡織品製造業,12865.8317,59.4000,17.3436,991.3594,0.0000,0.0000,0.00,42636.4649,56570.400,依法申報,是,,
111,14001199,福懋興業股份有限公司,0001,P4600987,雲林縣,斗六市,榴中里石榴路317號,1140,印染整理業,175624.3879,1420.9500,767.5586,650.8994,0.0000,0.0000,0.00,44789.2414,223253.037,依法申報,是,,
