產業別,年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
10,2020,32177798.22,94.57,28507768.11,93.82,3670030.11,100.78,
10,2019,34026177.75,100,30384606.33,100,3641571.42,100,
10,2018,36047009.89,105.94,32060654,105.52,3986355.89,109.47,
10,2017,34942220.8,102.69,30967369.95,101.92,3974850.85,109.15,
10,2016,35284970.11,103.7,31591633.73,103.97,3693336.38,101.42,
10,2015,34390314.51,101.07,30836535.96,101.49,3553778.55,97.59,
10,2014,33916409.26,99.68,30483561.65,100.33,3432847.61,94.27,
10,2013,33001243.8,96.99,29731830.55,97.85,3269413.25,89.78,
10,2021,31256324.03,91.86,27687900.83,91.12,3568423.2,97.99,T
10,2022,30334849.83,89.15,26868033.55,88.43,3466816.28,95.2,T
10,2023,29413375.64,86.44,26048166.27,85.73,3365209.37,92.41,T
10,2024,28491901.45,83.74,25228298.99,83.03,3263602.46,89.62,T
10,2025,27570427.25,81.03,24408431.71,80.33,3161995.54,86.83,T
10,2026,26648953.06,78.32,23588564.43,77.63,3060388.63,84.04,T
10,2027,25727478.87,75.61,22768697.15,74.93,2958781.72,81.25,T
10,2028,24806004.67,72.9,21948829.87,72.24,2857174.8,78.46,T
10,2029,23884530.48,70.19,21128962.59,69.54,2755567.89,75.67,T
10,2030,22963056.29,67.49,20309095.31,66.84,2653960.98,72.88,T
10,2031,22041582.09,64.78,19489228.03,64.14,2552354.06,70.09,T
10,2032,21120107.9,62.07,18669360.75,61.44,2450747.15,67.3,T
10,2033,20198633.71,59.36,17849493.47,58.75,2349140.24,64.51,T
10,2034,19277159.51,56.65,17029626.19,56.05,2247533.32,61.72,T
10,2035,18355685.32,53.95,16209758.91,53.35,2145926.41,58.93,T
10,2036,17434211.13,51.24,15389891.63,50.65,2044319.5,56.14,T
10,2037,16512736.93,48.53,14570024.35,47.95,1942712.58,53.35,T
10,2038,15591262.74,45.82,13750157.07,45.25,1841105.67,50.56,T
10,2039,14669788.55,43.11,12930289.79,42.56,1739498.76,47.77,T
10,2040,13748314.35,40.41,12110422.51,39.86,1637891.84,44.98,T
10,2041,12826840.16,37.7,11290555.23,37.16,1536284.93,42.19,T
10,2042,11905365.97,34.99,10470687.95,34.46,1434678.02,39.4,T
10,2043,10983891.77,32.28,9650820.67,31.76,1333071.1,36.61,T
10,2044,10062417.58,29.57,8830953.39,29.06,1231464.19,33.82,T
10,2045,9140943.39,26.86,8011086.11,26.37,1129857.28,31.03,T
10,2046,8219469.19,24.16,7191218.83,23.67,1028250.36,28.24,T
10,2047,7297995,21.45,6371351.55,20.97,926643.45,25.45,T
10,2048,6376520.81,18.74,5551484.27,18.27,825036.54,22.66,T
10,2049,5455046.61,16.03,4731616.99,15.57,723429.62,19.87,T
10,2050,4533572.42,13.32,3911749.71,12.87,621822.71,17.08,T
21,2020,6893630.99,98.98,3781821.97,97.04,3111809.02,101.44,
21,2019,6964828.24,100,3897337.53,100,3067490.71,100,
